opening_eco,eco_name
C45,Italian Game
E4,King's Pawn Opening
D4,Queen's Pawn Opening
C50,Italian Opening
E5,Ruy Lopez
D5,Queen's Gambit Declined
B40,Sicilian Defense: French Variation
A45,Queen's Pawn Opening
B30,Sicilian Defense: Open
C42,Italian Game: Classical Variation
A46,Queen's Pawn Opening: Queen's Pawn Counterattack
C41,Italian Game: Classical Variation
D37,Queen's Gambit Declined
B50,Sicilian Defense: Modern Variation
E6,French Defense
C65,Ruy Lopez: Berlin Defense
B43,Sicilian Defense: Kan Sicilian
B52,Sicilian Defense: Canal Attack
D85,Grunfeld Defense
C00,French Defense: Two Knights Variation
A15,English Opening
B90,Sicilian Defense: Najdorf Variation
C67,Ruy Lopez: Berlin Defense
D02,Queen's Pawn Opening: London System
B22,Sicilian Defense: Alapin Variation
C53,Italian Game: Classical Variation
E70,King's Indian Defense
C84,Ruy Lopez: Closed
B92,Sicilian Defense: Najdorf Variation
A04,Reti Opening
B46,Sicilian Defense: Modern Variation
C55,Italian Game: Two Knights Defense
D00,Queen's Pawn Opening
B33,Sicilian Defense: Open
C57,Italian Game: Two Knights Defense
E11,Bogo-Indian Defense
D10,Queen's Gambit Declined Slav Defense
B80,Sicilian Defense: Scheveningen Variation
C64,Ruy Lopez: Classical Variation
A17,English Opening
B81,Sicilian Defense: Scheveningen Variation
C54,Italian Game: Giuoco Piano
D06,Queen's Pawn Opening: Colle-Zukertort System
B38,Sicilian Defense: Accelerated Dragon
C62,Ruy Lopez: Closed
A07,King's Indian Attack
